ID_station;lat;long;Carte;Year;Month;max_copies_detected;Station_std
LLM2;56,510006;-73,68212;LLM005-008;2019;May;3500;LLMB
LLM3;56,60005;-73,65241;LLM009-012;2019;May;829;LLMC
LLM4;56,61934;-73,49248;LLM013-016;2019;May;1857;LLMD
BIE1;55,20919;-72,44781;BIE001-004;2019;May;0;BIC
BIE2;55,17832;-72,66716;BIE005-008;2019;May;0;BID
BIE3;55,00007;-72,68756;BIE009-012;2019;May;0;BIE
BIE4;55,01675;-73,20665;BIE013-016;2019;May;579;BIG
BIE5;54,97327;-73,27454;BIE017-020;2019;May;223;BII
BIF;55,02419;-73,12421;BIF001-003;2020;August;0;BIF
BIG;55,01697;-73,20576;BIG001-003;2020;August;0;BIG
BIH;55,03297;-73,35971;;2020;August;0;BIH
BII;54,97329;-73,27412;;2020;August;0;BII
BIJ;54,91125;-73,51848;;2020;August;0;BIJ
PLA;56,02057;-73,25586;;2020;August;0;PLA
PLB;56,09553;-73,26745;;2020;August;0;PLB
WIA;56,07455;-74,55754;;2020;August;0;WIA
LMA;56,47052;-74,04455;;2020;August;0;LLMA
LMB;56,51075;-73,67998;;2020;August;0;LLMB
LMC;56,60219;-73,65314;;2020;August;0;LLMC
LMD;56,624657;-73,490656;;2020;August;0;LLMD
BOA;56,667;-74,04473;;2020;August;0;BOA
BOB;56,72788;-74,17715;;2020;August;0;BOB
NAA;56,52325;-74,46241;;2020;August;0;NAA
NAS;56,91655;-76,52578;;2020;August;0;NAS
TAS;56,53411;-76,42883;;2020;August;0;TAS
BIA;55,28573;-72,0405;;2020;August;0;BIA
BIB;55,25832;-72,25969;;2020;August;0;BIB
BIC;55,20514;-72,44775;;2020;August;0;BIC
BID;55,17898;-72,6668;;2020;August;0;BID
BIE;54,9999;-72,68693;;2020;August;0;BIE
WIY;56,293416;-74,327907;;2020;August;0;WIY
LLM21_01;56,4664;-74,225;;2021;March;0;LLMG
LLM21_04;56,4766;-74,2734;;2021;March;0;LLMH
LLM21_07;56,5178;-73,7811;;2021;March;1;LLMF
LLM21_06;56,6464;-73,7755;;2021;March;0;LLME
BIE21_01;54,97324;-73,27456;;2021;March;0;BII
BIE21_02;54,9872;-73,2029;;2021;March;0;BIK
BIE21_03;55,0222;-73,1308;;2021;March;0;BIF
BIE21_04;55,0115;-73,0432;;2021;March;0;BIL
BIE21_17;55,2902;-72,0156;;2021;March;0;BIA
BIE21_13;55,2801;-72,0669;;2021;March;0;BIA
BIE21_14;55,2654;-72,0346;;2021;March;0;BIA
BIE21_12;55,2637;-72,2503;;2021;March;0;BIB
BIE21_J;54,91119;-73,51854;;2021;May;0;BIJ
BIE21_H;55,0374;-73,35564;;2021;May;0;BIH
BIE21_I;54,97324;-73,27456;;2021;May;0;BII
BIE21_W;54,9878;-73,22111;;2021;May;0;BIK
BIE21_G;55,01686;-73,20581;;2021;May;0;BIG
BIE21_F;55,02509;-73,12103;;2021;May;0;BIF
BIE21_Z;55,0101;-73,04299;;2021;May;0;BIL
BIE21_B;55,26332;-72,248;;2021;May;0;BIB
BIE21_Y;55,28451;-72,09083;;2021;May;0;BIA
NAS;56,91651;-76,525457;;2021;August;16;NAS
LMD;56,624657;-73,490656;;2021;August;0;LLMD
LMC;56,601977;-73,60026;;2021;August;0;LLMC
LMB;56,513511;-73,691799;;2021;August;0;LLMB
LMA;56,474225;-74,050737;;2021;August;0;LLMA
NAA;56,529615;-74,476735;;2021;August;0;NAA
NAD;56,72044;-75,3997;;2021;August;0;NAD
NAC;56,880364;-75,800899;;2021;August;0;NAC
NAB;56,903777;-76,408959;;2021;August;0;NAB
CAM;56,349;-74,4409;;2021;August;0;WIB
SMP;56,3377;-74,464;;2021;August;0;WIB
SMC;56,2069;-74,4907;;2021;August;0;WIC
Bourdel01;56,71496202;-74,01188096;;2022;August;6;BOC
Bourdel02;56,70197301;-73,93612004;;2022;August;0;BOD
LLM03b;56,6464;-73,77548;;2022;August;0;LLME
LLM02;56,60215;-73,65305;;2022;August;0;LLMC
LLM03c;56,61888;-73,4928;;2022;August;0;LLMD
LLM04;56,51069;-73,67997;;2022;August;0;LLMB
LLM05;56,47055;-74,04456;;2022;August;0;LLMA
NAS22-01;56,85695;-76,17728;;2022;August;8;NAE
NAS22-02;56,87976;-75,90903;;2022;August;0;NAC
Minto01;57,20658797;-74,56850404;;2022;August;0;MIA
Minto02;57,16050602;-74,47086702;;2022;August;10;MIB
BIE01;55,25349867;-72,26174327;;2023;May;0;BIB
BIE02;55,22552457;-72,39745282;;2023;May;0;BIM
BIE03;55,03635264;-72,55016078;;2023;May;0;BIN
BIE04;55,00428951;-72,97914214;;2023;May;0;BIO
BIE06;55,00464943;-73,09923562;;2023;May;0;BIP
BIE08;54,98520937;-73,21659216;;2023;May;0;BIK
BIE09;54,96737863;-73,29228368;;2023;May;0;BII
BIE10;54,9246554;-73,37026572;;2023;May;0;BIQ
BIE11;54,92135871;-73,51303669;;2023;May;0;BIJ
BIE12;54,92508941;-73,68302261;;2023;May;0;BIR
BIE13;54,99569362;-73,3496407;;2023;May;0;BIS
BOU02;56,69362337;-73,96846849;;2023;May;0,8;BOD
LLM04;56,66088467;-73,80607934;;2023;May;0,58;LLMI
LLM06;56,32671369;-73,92886391;;2023;May;0,743333333;LLMJ
PLM02;56,20588269;-73,16675227;;2023;May;0;PLG
PLM04;56,01778038;-73,25218113;;2023;May;0;PLA
PLM06;55,99158173;-73,43033069;;2023;May;0;PLF
BIE14;55,14384502;-72,32262203;;2023;May;0;BIT
LLM03;56,643657;-73,76600504;;2023;May;0,43;LLME
NAS01;56,74349897;-75,54008002;;2023;May;4,4;NAF
NAS02;56,58032301;-74,61323398;;2023;May;0;NAG
PLM01;56,22633001;-73,097201;;2023;May;0;PLC
PLM03;56,12503496;-73,203522;;2023;May;0;PLD
PLM05;55,983243;-73,37470402;;2023;May;0;PLE
