site;sample;rep
BIENVILLE_2019;1;1
BIENVILLE_2019;1;2
BIENVILLE_2019;1;3
BIENVILLE_2019;2;1
BIENVILLE_2019;2;2
BIENVILLE_2019;2;3
BIENVILLE_2019;3;1
BIENVILLE_2019;3;2
BIENVILLE_2019;3;3
BIENVILLE_2019;4;1
BIENVILLE_2019;4;2
BIENVILLE_2019;4;3
BIENVILLE_2019;5;1
BIENVILLE_2019;5;2
BIENVILLE_2019;5;3
BIENVILLE_2019;6;1
BIENVILLE_2019;6;2
BIENVILLE_2019;6;3
BIENVILLE_2019;7;1
BIENVILLE_2019;7;2
BIENVILLE_2019;7;3
BIENVILLE_2019;8;1
BIENVILLE_2019;8;2
BIENVILLE_2019;8;3
BIENVILLE_2019;9;1
BIENVILLE_2019;9;2
BIENVILLE_2019;9;3
BIENVILLE_2019;10;1
BIENVILLE_2019;10;2
BIENVILLE_2019;10;3
BIENVILLE_2019;11;1
BIENVILLE_2019;11;2
BIENVILLE_2019;11;3
BIENVILLE_2019;12;1
BIENVILLE_2019;12;2
BIENVILLE_2019;12;3
BIENVILLE_2019;13;1
BIENVILLE_2019;13;2
BIENVILLE_2019;13;3
BIENVILLE_2019;14;1
BIENVILLE_2019;14;2
BIENVILLE_2019;14;3
BIENVILLE_2019;15;1
BIENVILLE_2019;15;2
BIENVILLE_2019;15;3
BIENVILLE_2020;1;1
BIENVILLE_2020;1;2
BIENVILLE_2020;1;3
BIENVILLE_2020;2;1
BIENVILLE_2020;2;2
BIENVILLE_2020;2;3
BIENVILLE_2020;3;1
BIENVILLE_2020;3;2
BIENVILLE_2020;3;3
BIENVILLE_2020;4;1
BIENVILLE_2020;4;2
BIENVILLE_2020;4;3
BIENVILLE_2020;5;1
BIENVILLE_2020;5;2
BIENVILLE_2020;5;3
BIENVILLE_2020;6;1
BIENVILLE_2020;6;2
BIENVILLE_2020;6;3
BIENVILLE_2020;7;1
BIENVILLE_2020;7;2
BIENVILLE_2020;7;3
BIENVILLE_2020;8;1
BIENVILLE_2020;8;2
BIENVILLE_2020;8;3
BIENVILLE_2020;9;1
BIENVILLE_2020;9;2
BIENVILLE_2020;9;3
BIENVILLE_2020;10;1
BIENVILLE_2020;10;2
BIENVILLE_2020;10;3
BIENVILLE_2020;11;1
BIENVILLE_2020;11;2
BIENVILLE_2020;11;3
BIENVILLE_2020;12;1
BIENVILLE_2020;12;2
BIENVILLE_2020;12;3
BIENVILLE_2020;13;1
BIENVILLE_2020;13;2
BIENVILLE_2020;13;3
BIENVILLE_2020;14;1
BIENVILLE_2020;14;2
BIENVILLE_2020;14;3
BIENVILLE_2020;15;1
BIENVILLE_2020;15;2
BIENVILLE_2020;15;3
BIENVILLE_2020;16;1
BIENVILLE_2020;16;2
BIENVILLE_2020;16;3
BIENVILLE_2020;17;1
BIENVILLE_2020;17;2
BIENVILLE_2020;17;3
BIENVILLE_2020;18;1
BIENVILLE_2020;18;2
BIENVILLE_2020;18;3
BIENVILLE_2020;19;1
BIENVILLE_2020;19;2
BIENVILLE_2020;19;3
BIENVILLE_2020;20;1
BIENVILLE_2020;20;2
BIENVILLE_2020;20;3
BIENVILLE_2020;21;1
BIENVILLE_2020;21;2
BIENVILLE_2020;21;3
BIENVILLE_2020;22;1
BIENVILLE_2020;22;2
BIENVILLE_2020;22;3
BIENVILLE_2020;23;1
BIENVILLE_2020;23;2
BIENVILLE_2020;23;3
BIENVILLE_2020;24;1
BIENVILLE_2020;24;2
BIENVILLE_2020;24;3
BIENVILLE_2020;25;1
BIENVILLE_2020;25;2
BIENVILLE_2020;25;3
BIENVILLE_2020;26;1
BIENVILLE_2020;26;2
BIENVILLE_2020;26;3
BIENVILLE_2020;27;1
BIENVILLE_2020;27;2
BIENVILLE_2020;27;3
BIENVILLE_2020;28;1
BIENVILLE_2020;28;2
BIENVILLE_2020;28;3
BIENVILLE_2020;29;1
BIENVILLE_2020;29;2
BIENVILLE_2020;29;3
BIENVILLE_2020;30;1
BIENVILLE_2020;30;2
BIENVILLE_2020;30;3
BIENVILLE_2021;1;1
BIENVILLE_2021;1;2
BIENVILLE_2021;1;3
BIENVILLE_2021;2;1
BIENVILLE_2021;2;2
BIENVILLE_2021;2;3
BIENVILLE_2021;3;1
BIENVILLE_2021;3;2
BIENVILLE_2021;3;3
BIENVILLE_2021;4;1
BIENVILLE_2021;4;2
BIENVILLE_2021;4;3
BIENVILLE_2021;5;1
BIENVILLE_2021;5;2
BIENVILLE_2021;5;3
BIENVILLE_2021;6;1
BIENVILLE_2021;6;2
BIENVILLE_2021;6;3
BIENVILLE_2021;7;1
BIENVILLE_2021;7;2
BIENVILLE_2021;7;3
BIENVILLE_2021;8;1
BIENVILLE_2021;8;2
BIENVILLE_2021;8;3
BIENVILLE_2021;9;1
BIENVILLE_2021;9;2
BIENVILLE_2021;9;3
BIENVILLE_2021;10;1
BIENVILLE_2021;10;2
BIENVILLE_2021;10;3
BIENVILLE_2021;11;1
BIENVILLE_2021;11;2
BIENVILLE_2021;11;3
BIENVILLE_2021;12;1
BIENVILLE_2021;12;2
BIENVILLE_2021;12;3
BIENVILLE_2021;13;1
BIENVILLE_2021;13;2
BIENVILLE_2021;13;3
BIENVILLE_2021;14;1
BIENVILLE_2021;14;2
BIENVILLE_2021;14;3
BIENVILLE_2021;15;1
BIENVILLE_2021;15;2
BIENVILLE_2021;15;3
BIENVILLE_2021;16;1
BIENVILLE_2021;16;2
BIENVILLE_2021;16;3
BIENVILLE_2021;17;1
BIENVILLE_2021;17;2
BIENVILLE_2021;17;3
BIENVILLE_2021;18;1
BIENVILLE_2021;18;2
BIENVILLE_2021;18;3
BIENVILLE_2021;19;1
BIENVILLE_2021;19;2
BIENVILLE_2021;19;3
BIENVILLE_2021;20;1
BIENVILLE_2021;20;2
BIENVILLE_2021;20;3
BIENVILLE_2021;21;1
BIENVILLE_2021;21;2
BIENVILLE_2021;21;3
BIENVILLE_2021;22;1
BIENVILLE_2021;22;2
BIENVILLE_2021;22;3
BIENVILLE_2021;23;1
BIENVILLE_2021;23;2
BIENVILLE_2021;23;3
BIENVILLE_2021;24;1
BIENVILLE_2021;24;2
BIENVILLE_2021;24;3
BIENVILLE_2021;25;1
BIENVILLE_2021;25;2
BIENVILLE_2021;25;3
BIENVILLE_2021;26;1
BIENVILLE_2021;26;2
BIENVILLE_2021;26;3
BIENVILLE_2021;27;1
BIENVILLE_2021;27;2
BIENVILLE_2021;27;3
BIENVILLE_2021;28;1
BIENVILLE_2021;28;2
BIENVILLE_2021;28;3
BIENVILLE_2021;29;1
BIENVILLE_2021;29;2
BIENVILLE_2021;29;3
BIENVILLE_2021;30;1
BIENVILLE_2021;30;2
BIENVILLE_2021;30;3
BIENVILLE_2021;31;1
BIENVILLE_2021;31;2
BIENVILLE_2021;31;3
BIENVILLE_2021;32;1
BIENVILLE_2021;32;2
BIENVILLE_2021;32;3
BIENVILLE_2021;33;1
