site;sample;pcr1;pcr2;pcr3;pcr4;pcr5;pcr6;pcr7;pcr8;pcr9
BIENVILLE_2019;1;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2019;2;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2019;3;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2019;4;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2019;5;1;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2019;6;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2019;7;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2019;8;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2019;9;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2019;10;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2019;11;0;1;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2019;12;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2019;13;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2019;14;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2019;15;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;1;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;2;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;3;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;4;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;5;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;6;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;7;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;8;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;9;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;10;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;11;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;12;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;13;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;14;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;15;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;16;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;17;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;18;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;19;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;20;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;21;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;22;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;23;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;24;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;25;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;26;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;27;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;28;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;29;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2020;30;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;1;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;2;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;3;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;4;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;5;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;6;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;7;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;8;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;9;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;10;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;11;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;12;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;13;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;14;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;15;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;16;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;17;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;18;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;19;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;20;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;21;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;22;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;23;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;24;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;25;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2021;26;0;0;0;NA;NA;NA;NA;NA;NA
